,Postcode,Borough,Neighbourhood
0, ,Canadian postal codes,
1,M1A ,M1A ,M1A 
2,M1B ,Scarborough,"Malvern, Rouge"
3,M1C ,Scarborough,"Rouge Hill, Port Union, Highland Creek"
4,M1E ,Scarborough,"Guildwood, Morningside, West Hill"
5,M1G ,Scarborough,Woburn
6,M1H ,Scarborough,Cedarbrae
7,M1J ,Scarborough,Scarborough Village
8,M1K ,Scarborough,"Kennedy Park, Ionview, East Birchmount Park"
9,M1L ,Scarborough,"Golden Mile, Clairlea, Oakridge"
10,M1M ,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West"
11,M1N ,Scarborough,"Birch Cliff, Cliffside West"
12,M1P ,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre"
13,M1R ,Scarborough,"Wexford, Maryvale"
14,M1S ,Scarborough,Agincourt
15,M1T ,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan"
16,M1V ,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East"
17,M1W ,Scarborough,"Steeles West, L'Amoreaux West"
18,M1X ,Scarborough,Upper Rouge
19,M1Y ,M1Y ,M1Y 
20,M1Z ,M1Z ,M1Z 
21,M2A ,M2A ,M2A 
22,M2B ,M2B ,M2B 
23,M2C ,M2C ,M2C 
24,M2E ,M2E ,M2E 
25,M2G ,M2G ,M2G 
26,M2H ,North York,Hillcrest Village
27,M2J ,North York,"Fairview, Henry Farm, Oriole"
28,M2K ,North York,Bayview Village
29,M2L ,North York,"York Mills, Silver Hills"
30,M2M ,North York,"Willowdale, Newtonbrook"
31,M2N ,North York,"Willowdale, Willowdale East"
32,M2P ,North York,York Mills West
33,M2R ,North York,"Willowdale, Willowdale West"
34,M2S ,M2S ,M2S 
35,M2T ,M2T ,M2T 
36,M2V ,M2V ,M2V 
37,M2W ,M2W ,M2W 
38,M2X ,M2X ,M2X 
39,M2Y ,M2Y ,M2Y 
40,M2Z ,M2Z ,M2Z 
41,M3A ,North York,Parkwoods
42,M3B ,North York,Don Mills
43,M3C ,North York,Don Mills
44,M3E ,M3E ,M3E 
45,M3G ,M3G ,M3G 
46,M3H ,North York,"Bathurst Manor, Wilson Heights, Downsview North"
47,M3J ,North York,"Northwood Park, York University"
48,M3K ,North York,Downsview
49,M3L ,North York,Downsview
50,M3M ,North York,Downsview
51,M3N ,North York,Downsview
52,M3P ,M3P ,M3P 
53,M3R ,M3R ,M3R 
54,M3S ,M3S ,M3S 
55,M3T ,M3T ,M3T 
56,M3V ,M3V ,M3V 
57,M3W ,M3W ,M3W 
58,M3X ,M3X ,M3X 
59,M3Y ,M3Y ,M3Y 
60,M3Z ,M3Z ,M3Z 
61,M4A ,North York,Victoria Village
62,M4B ,East York,"Parkview Hill, Woodbine Gardens"
63,M4C ,East York,Woodbine Heights
64,M4E ,East Toronto,The Beaches
65,M4G ,East York,Leaside
66,M4H ,East York,Thorncliffe Park
